Taxa	Isolate	Organism	Host	Date	Location	Group
OR233295.1	Rt17DN420	Horseshoe bat sarbecovirus	Rhinolophus thomasi	04-Jun-2017	Viet Nam	Other Sarbecovirus strains
OR233328.1	Ra22QT137	Horseshoe bat sarbecovirus	Rhinolophus affinis	04-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233325.1	Ra22DB163	Horseshoe bat sarbecovirus	Rhinolophus affinis	26-Jun-2022	Viet Nam	Other Sarbecovirus strains
OR233324.1	Ra22QT77	Horseshoe bat sarbecovirus	Rhinolophus affinis	03-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233321.1	Rt22QT53	Horseshoe bat sarbecovirus	Rhinolophus thomasi	02-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233318.1	Rt22QT36	Horseshoe bat sarbecovirus	Rhinolophus thomasi	01-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233317.1	Rt22QT178	Horseshoe bat sarbecovirus	Rhinolophus thomasi	05-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233314.1	Rt22SL92	Horseshoe bat sarbecovirus	Rhinolophus thomasi	03-Jul-2022	Viet Nam	Other Sarbecovirus strains
OR233311.1	Rt22SL130	Horseshoe bat sarbecovirus	Rhinolophus thomasi	04-Jul-2022	Viet Nam	Other Sarbecovirus strains
OR233310.1	Rt22DB38	Horseshoe bat sarbecovirus	Rhinolophus thomasi	18-Jun-2022	Viet Nam	Other Sarbecovirus strains
OR233308.1	Rt21LC39	Horseshoe bat sarbecovirus	Rhinolophus thomasi	12-Nov-2021	Viet Nam	Other Sarbecovirus strains
OR233305.1	Rt321LC192	Horseshoe bat sarbecovirus	Rhinolophus thomasi	14-Nov-2021	Viet Nam	Other Sarbecovirus strains
OR233304.1	Ra22DB191	Horseshoe bat sarbecovirus	Rhinolophus affinis	28-Jun-2022	Viet Nam	Other Sarbecovirus strains
OR233303.1	Rt22SL9	Horseshoe bat sarbecovirus	Rhinolophus thomasi	01-Jul-2022	Viet Nam	Other Sarbecovirus strains
OR233302.1	Rp22DB159	Horseshoe bat sarbecovirus	Rhinolophus pusillus	26-Jun-2022	Viet Nam	Other Sarbecovirus strains
OR233300.1	Rt22QT124	Horseshoe bat sarbecovirus	Rhinolophus thomasi	04-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233299.1	Rt22QB8	Horseshoe bat sarbecovirus	Rhinolophus thomasi	07-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233298.1	Rt22QB78	Horseshoe bat sarbecovirus	Rhinolophus thomasi	10-Nov-2022	Viet Nam	Other Sarbecovirus strains
OR233296.1	Rt22LC378	Horseshoe bat sarbecovirus	Rhinolophus thomasi	06-Mar-2022	Viet Nam	Other Sarbecovirus strains
OR233293.1	Rt22CB395	Horseshoe bat sarbecovirus	Rhinolophus thomasi	28-Feb-2022	Viet Nam	Other Sarbecovirus strains
OR233292.1	Ra22DB107	Horseshoe bat sarbecovirus	Rhinolophus affinis	24-Jun-2022	Viet Nam	Other Sarbecovirus strains
OR233291.1	Ra21CB8	Horseshoe bat sarbecovirus	Rhinolophus affinis	10-Dec-2021	Viet Nam	Other Sarbecovirus strains
OQ297708.1	GD/P79-9/2019	Pangolin coronavirus	Manis javanica	Mar-2019	China	Other Sarbecovirus strains
OQ297705.1	CQ/L80.18/2021	Severe acute respiratory syndrome-related coronavirus	Rhinolophus rex	Dec-2021	China	Other Sarbecovirus strains
OQ297704.1	SC/L75.18/2021	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sp.	Dec-2021	China	Other Sarbecovirus strains
OQ297703.1	GD/L18.18/2020	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	Nov-2020	China	Other Sarbecovirus strains
OR261265.1	RsVN21-195	Rhinolophus siamensis bat sarbecovirus	Rhinolophus siamensis	Jul-2021	Viet Nam	Other Sarbecovirus strains
